M,X,class,const_cls,med_d,scl,scl_pool,logprior,thr,n
Zn,I,const,0,,,,,,117
Zn,N,const,0,,,,,,1763
Zn,O,const,0,,,,,,1652
Zn,P,const,0,,,,,,18
Zn,S,const,0,,,,,,312
Zn,Se,const,0,,,,,,31
Zr,As,const,0,,,,,,14
Zr,Br,const,0,,,,,,33
Zr,C,Double,,2.1919,0.1470,0.0329,-4.0146,,5
Zr,C,Single,,2.2429,0.0325,0.0329,-0.0182,,272
Zr,C,thr,,,,0.0329,,2.09278|-inf,277
Zr,Cl,const,0,,,,,,659
Zr,F,const,0,,,,,,152
Zr,H,const,0,,,,,,140
Zr,I,const,0,,,,,,22
Zr,N,const,0,,,,,,367
Zr,O,const,0,,,,,,364
Zr,P,const,0,,,,,,144
Zr,S,const,0,,,,,,74
Zr,Se,const,0,,,,,,6
Zr,Te,const,0,,,,,,15
*,*,fallback,0,,,,,,158048
